"Word","Length","Ortho_N","BG_Sum","BG_Mean","BG_Freq_By_Pos","NWI_Mean_RT","NWI_SD","NWI_Zscore","Obs","NWI_Mean_Accuracy"
"nomain","6","1","11,510","2,302.000","2,199","821.000","265.571","-0.184","25","0.806"
"pomains","7","1","13,642","2,273.667","2,547","785.455","228.485","-0.091","33","1.000"
"fome","4","9","3,548","1,182.667","1,155","733.548","203.895","0.168","31","0.912"
"domud","5","1","2,518","629.500","899","589.912","99.338","0.481","34","1.000"
"domas","5","3","4,937","1,234.250","1,137","779.808","257.033","-0.014","26","0.812"
"Domestay","8","1","13,900","1,985.714","2,324","931.667","302.249","-0.564","30","0.938"
"tomestic","8","1","19,447","2,778.143","2,995","725.062","236.062","0.050","32","0.970"
"romestically","12","1","28,252","2,568.364","3,526","1,037.455","413.660","-0.779","22","0.733"
"bomesticate","11","1","29,224","2,922.400","3,765","939.103","391.153","-0.404","29","0.967"
"domesticatien","13","1","34,499","2,874.917","3,779","1,056.556","452.420","-1.014","18","0.621"
"somesticity","11","1","22,728","2,272.800","3,236","931.800","320.930","-0.472","30","0.909"
"lomicile","8","1","12,184","1,740.571","2,013","834.219","397.202","-0.042","32","0.941"
"bomiciled","9","1","15,964","1,995.500","2,709","795.576","383.318","-0.062","33","1.000"
"domanance","9","1","14,908","1,863.500","2,103","1,077.500","352.593","-0.854","22","0.667"
"gominant","8","1","17,773","2,539.000","2,308","903.065","377.437","-0.177","31","0.912"
"hominantly","10","1","20,570","2,285.556","2,741","874.000","298.674","-0.308","31","0.882"
"tominate","8","2","20,853","2,979.000","2,917","823.394","277.971","-0.139","33","0.971"
"rominated","9","2","26,115","3,264.375","3,519","812.214","241.049","-0.183","28","0.903"
"pominates","9","1","25,051","3,131.375","3,482","969.864","392.632","-0.488","22","0.759"
"dominoting","10","1","27,367","3,040.778","3,509","879.500","306.262","-0.543","26","0.812"
"bomination","10","2","27,747","3,083.000","4,107","1,026.696","532.671","-0.489","23","0.793"
"romineer","8","1","20,934","2,990.571","2,538","763.000","268.626","-0.011","31","0.912"
"lomineering","11","1","33,948","3,394.800","3,256","684.581","157.261","0.084","31","0.939"
"Tominic","7","1","14,660","2,443.333","2,183","960.219","568.280","-0.203","32","0.941"
"Sominican","9","1","19,362","2,420.250","2,584","975.069","407.029","-0.554","29","0.906"
"nominion","8","1","18,915","2,702.143","2,540","846.000","258.472","-0.414","24","0.750"
"Dominiquo","9","1","12,241","1,530.125","1,901","993.538","295.810","-0.560","26","0.812"
"lomino","6","1","11,752","2,350.400","1,724","700.161","236.538","0.355","31","0.886"
"domijoes","8","1","7,953","1,136.143","1,654","736.312","330.486","0.148","32","1.000"
"Lon","3","14","6,075","3,037.500","1,369","878.833","400.795","-0.172","30","0.857"
"Doneld","6","1","9,532","1,906.400","2,046","775.000","169.710","0.083","32","0.970"
"gonate","6","1","14,970","2,994.000","2,335","683.188","240.650","0.291","32","0.941"
"bonated","7","1","19,858","3,309.667","3,353","771.133","265.685","-0.124","30","0.938"
"fonates","7","1","19,688","3,281.333","3,227","730.531","228.228","0.006","32","0.970"
"sonating","8","1","26,587","3,798.143","4,223","817.130","345.981","-0.063","23","0.719"
"donetion","8","1","20,714","2,959.143","3,073","874.656","289.319","-0.337","32","0.970"
"monations","9","1","24,925","3,115.625","3,393","1,010.581","367.340","-0.613","31","0.912"
"dene","4","8","8,692","2,897.333","1,799","698.000","198.801","0.156","29","0.879"
"conkey","6","3","8,499","1,699.800","3,326","895.867","341.235","-0.246","30","0.968"
"Donta","5","1","10,089","2,522.250","2,058","910.103","288.828","-0.366","29","0.853"
"fonned","6","4","12,322","2,464.400","2,572","762.897","292.425","-0.000","29","0.853"
"sonning","7","4","18,086","3,014.333","3,628","804.133","404.402","0.068","30","0.968"
"foner","5","6","13,633","3,408.250","3,098","676.625","180.399","0.295","32","0.970"
"lonors","6","3","11,097","2,219.400","2,193","763.357","270.396","0.061","28","0.848"
"lon't","5","2","6,279","1,569.750","1,388","748.364","211.833","0.174","33","0.971"
"doa","3","7","1,008","504.000","430","679.067","217.488","0.364","30","0.906"
"hoodle","6","3","6,383","1,276.600","1,776","774.038","172.051","0.012","26","0.812"
"doodlebuv","9","1","6,553","819.125","1,717","755.844","258.013","0.026","32","0.970"
